Row Labels,Sum of Clciks,,
F683A5F3-192F-49EB-8C8E-8934F0F3719B,313,313,TRUE
E626EB4B-2EFA-46A2-83D9-4DD16B729C47,266,266,TRUE
B122B1BC-2381-4F3F-A063-B38F8205D761,138,138,TRUE
697B30F3-62F6-4699-8AFE-4F227109FA77,126,126,TRUE
4DC67F16-76D9-4DE3-9D4C-0ED5BB7F201D,92,92,TRUE
1312EA07-F61C-48F7-A677-B01942EBF625,78,78,TRUE
7F595E3E-67A9-4407-BE07-1261B733C2E5,74,74,TRUE
2C6CEA05-05B0-4F57-AF53-AE552E2B6CAB,62,62,TRUE
0859BF95-20DE-4787-AD25-DD1614BD5137,52,52,TRUE
C3E60D90-8AC0-4401-A42A-90F3836EDBDF,46,46,TRUE
0BDCD557-8164-4396-875D-78BF2A0A3806,46,46,TRUE
BC279688-D059-417C-A385-5A1E40B8F5DE,43,43,TRUE
BDDF708C-603F-449F-83AC-C240B06E0455,43,43,TRUE
EE1DDF00-3807-4AAE-A9FC-4CC3021F1123,42,42,TRUE
5FF47984-5451-4E54-BC6A-7B9A075F717F,41,41,TRUE
90EDCC9F-F030-4351-8796-CA48E2108FB1,40,40,TRUE
A55E6D71-45B3-461E-A26A-EEBE3CD0F481,39,39,TRUE
1B6BD130-1B97-428D-BD4F-025C7006464C,39,39,TRUE
1AE3430E-8A24-47AE-BCF6-D5C7FBF8EF4E,38,38,TRUE
65277547-AAAD-4B57-AD49-E9380CFED7FD,36,36,TRUE
83E1F189-8773-41B7-BFEE-33DD9570F464,33,33,TRUE
9BD21CAE-2705-4473-955A-B541B76BF190,32,32,TRUE
DE112ABF-EC6F-429C-8563-C0285EEA45CF,29,29,TRUE
C968F863-491F-429A-9A27-39709BF322A6,29,29,TRUE
6954A67B-A057-487B-A80F-7E50013FECEB,29,29,TRUE
41C4699E-7A56-4FF8-9E30-4363E82E05B7,27,27,TRUE
F1C16456-4160-49F3-9B32-AC791117E858,26,26,TRUE
7352131A-D7AC-43A9-A24E-BB32F4220827,25,25,TRUE
B147D629-2E12-4C4A-B9A7-083DCDF305FA,22,22,TRUE
E6A1DB01-D825-447F-89E4-03A6B7FF728F,21,21,TRUE
0A22AA09-E3D0-4FF6-A8A4-07C84EE1BF05,21,21,TRUE
F2C35F2B-5688-423A-8DD3-0A7C7C1D125C,20,20,TRUE
828B1A7D-85ED-4BC2-A190-CF84213533CE,19,19,TRUE
40169E40-B2C0-40B4-997E-4077BAA16AFF,19,19,TRUE
029C8FC5-D7E9-4C15-82A3-0E7957A88D22,19,19,TRUE
F1DDBB77-9144-45CE-850A-EE68F163574D,18,18,TRUE
8F3CC9F4-C22D-4B15-A9DD-97E87EDDDE6E,18,18,TRUE
152FE69E-CF81-4CFB-A341-4C32B922B6B1,18,18,TRUE
DB58F745-FD96-457C-9F01-830C24341E42,16,16,TRUE
2BB430C0-2498-49A7-9226-945D378E99D7,16,16,TRUE
1CE9E5B9-8E34-478F-9ABF-0DDD7084A770,16,16,TRUE
085BD277-F2FD-4838-B5B3-7AAF1D4A8324,15,15,TRUE
13525F50-335B-4100-9415-75995E5527FB,15,15,TRUE
0F431041-1827-49CB-969C-C55625403AC6,15,15,TRUE
416C0F18-1866-4B95-9B28-68B5AE6C98CE,14,14,TRUE
0CEE7193-FD3B-47EE-877F-2AC81F69DBB7,14,14,TRUE
75B69AAC-0DCE-458C-A6DF-E9D3A8E21D64,13,13,TRUE
AFB39C74-9C3B-4337-9A6A-6EC3BD876D94,12,12,TRUE
8C4EC826-27D2-4C04-9363-0814AA12D4D3,12,12,TRUE
404FADB4-AC7A-4608-9E19-F8AE5519AC7D,12,12,TRUE
DD532D52-B1BB-4581-A66B-BC95280113D9,11,11,TRUE
7C86E6BD-4313-454B-8A77-C3CA5DB37C61,11,11,TRUE
5C32BAF5-0D23-4B49-BA34-55B136C7061E,11,11,TRUE
39A70668-1092-4A3E-A18F-8DB972CC588A,11,11,TRUE
DFE5342D-227B-4829-AC07-8CEE0875803D,10,10,TRUE
871C8D7A-C156-4703-A46C-F0C836B29427,10,10,TRUE
91F9DE7F-0E41-46A6-9D91-282DD5119364,10,10,TRUE
A511634F-3556-4185-917C-1B5BF300E69C,9,9,TRUE
3C96E436-96AE-466F-B308-9B8F3418D6ED,9,9,TRUE
E736BDE3-E6EC-438D-8803-CC5DDE5E4059,8,8,TRUE
F18FA7A2-EF33-4CA3-9EF4-D62D14BC08EF,8,8,TRUE
D2D81BD7-5AC4-4D54-A99F-FEDA8A19C25D,8,8,TRUE
916AAA55-58C6-4798-998E-BB032C5CCBD7,8,8,TRUE
76E52ADA-5B2D-4E6F-BFB3-B4B8AE47E4E7,8,8,TRUE
F5E7F9E9-48EB-406D-9F84-4684CC80E62F,7,7,TRUE
FB2CC2FB-8C7C-4C0D-A639-532BA0A11BE5,7,7,TRUE
EAC6ABD3-6AE8-49D8-8A53-39A955080F86,7,7,TRUE
BB3ACA1F-F9F3-4A0C-93E4-A23AEE3B5802,7,7,TRUE
A90165D9-9502-4200-8310-DA44E714AC08,7,7,TRUE
9492BE1F-6C2A-4708-9DBF-26417A512612,7,7,TRUE
71570965-23F9-436A-82A5-E0222DF2DBD2,7,7,TRUE
733EF5ED-290E-484D-ABF3-C4F4418BDDB8,7,7,TRUE
42B23F58-29E5-4E5D-A7E0-1750FEEDC2AF,7,7,TRUE
3BC215C9-F66E-44D9-B209-87BDBC5AA826,7,7,TRUE
333A07A0-1575-4AE5-8BD4-2F9ABEBCDC6A,7,7,TRUE
0A3D3C65-EA00-47D2-8E8A-A5E3416061E2,7,7,TRUE
D07E6E6F-66D9-490B-B68E-078FA5D0CFE0,6,6,TRUE
ACA1A76B-D4C1-46F9-AEEA-0517A257706A,6,6,TRUE
BB318261-B485-42AA-99B6-A17E85AF7221,6,6,TRUE
BC4982DB-4EB4-4542-8619-562CD26F76AF,6,6,TRUE
9472838C-CEF4-4BFF-B2FB-0EA1DC72AD93,6,6,TRUE
684DE5D9-B535-4A35-AB8D-2BAEEF9F6058,6,6,TRUE
4F4AFD73-0651-4725-8D69-96E74C5A644A,6,6,TRUE
52C2C2DC-A3DA-47DB-98F1-CFDDDBC856AE,6,6,TRUE
49866902-A68E-4508-B20E-401E48C8BBAB,6,6,TRUE
22F43D5E-ABDC-41CF-ABEA-7DE06A655DE8,6,6,TRUE
30F96C5E-73F4-4A2C-89FD-7D0E2F55547C,6,6,TRUE
1BD67AFF-5064-484F-89FB-BCFD8B71A343,6,6,TRUE
B6BD4BA7-BE2B-4B83-A48B-DA523CECF3F7,5,5,TRUE
B81C73A7-8FE1-4436-9251-13B5B65F3971,5,5,TRUE
B4740EEB-3C80-4270-B9F9-28E1E7BFC3ED,5,5,TRUE
8C7A6AEA-C7B8-49E3-A550-40D4DDE040A3,5,5,TRUE
627F3C5E-0C34-425D-AB21-011E09C19C57,5,5,TRUE
6D7F782E-B891-4473-9B50-6F20051C76A2,5,5,TRUE
4EFEDE27-379E-4A08-A991-11C571B85838,5,5,TRUE
5EBFC2ED-A44E-4702-A22C-0F1C0618184A,5,5,TRUE
3787D06D-BBB6-4FB1-8EED-A9A53F7C74D3,5,5,TRUE
2377F0F4-51DC-48F9-8698-F680EDA98A9F,5,5,TRUE
397F9DDD-1415-4EE0-B4A5-A2781D1B268B,5,5,TRUE
22C57217-1B0A-407E-A0CA-E742B7FDBDA9,5,5,TRUE
31BB13DC-3346-493C-B55F-36DC8B5E4393,5,5,TRUE
36AED95E-1E4A-48ED-9F8B-2DDDD38B6D70,5,5,TRUE
0A5D7C2B-8E34-43A7-8504-EEE8DDB6A90F,5,5,TRUE
01035BAD-D851-4223-A1DE-E07E1C24C938,5,5,TRUE
F3C41C09-8D8A-4D3A-8451-13D9D8E67AA6,4,4,TRUE
E6735AA2-11DB-46CD-ADCE-31979396B7C9,4,4,TRUE
DBD5E7C5-851D-4ED1-87E4-561CBB1E4056,4,4,TRUE
C4683311-5D34-41B9-A3E5-D20B1335E12D,4,4,TRUE
D14AC69B-E521-4FDB-B767-DB586D98DC33,4,4,TRUE
CB0A887A-F042-46FF-B4B4-FE8539E9F6FF,4,4,TRUE
C8A54D81-3803-4442-B2E8-75D5E796A194,4,4,TRUE
D38E956F-EF37-43F5-993F-BF658BC248B7,4,4,TRUE
CDEB2E0F-8708-44F1-9D14-AA2BF3DF9041,4,4,TRUE
